scenario,var_group,var_name,category,mean_effect,hdi_2.5,hdi_97.5,prob_positive,prob_negative
PS1_tighter_structural,factor,brand,NoEquip,0.023169091529242958,-0.002141439525916334,0.051041840783879744,0.9616875,0.0383125
PS1_tighter_structural,factor,brand,Basket,0.013488620119734427,-0.0013412846761362604,0.030437330173572523,0.961625,0.038375
PS1_tighter_structural,factor,brand,Cart,-0.009258810689836664,-0.022426197119904314,0.0007829372513946947,0.0386875,0.9613125
PS1_tighter_structural,factor,brand,Trolley,-0.027398900959140726,-0.058215394569592474,0.002746447518378576,0.0383125,0.9616875
PS1_tighter_structural,factor,hedonic,NoEquip,-0.014913694955010612,-0.0366301583583824,0.007830592865755407,0.09328125,0.90671875
PS1_tighter_structural,factor,hedonic,Basket,-0.011412495994149525,-0.030546495569869922,0.004805142042567738,0.09328125,0.90671875
PS1_tighter_structural,factor,hedonic,Cart,0.00493905708120886,-0.002934927738920673,0.013997387646235798,0.900375,0.099625
PS1_tighter_structural,factor,hedonic,Trolley,0.02138713386795128,-0.009727620267126147,0.05490220486329529,0.90671875,0.09328125
PS1_tighter_structural,factor,confused,NoEquip,-0.024036197799930683,-0.043496355404667106,-0.00537130244468395,0.00684375,0.99315625
PS1_tighter_structural,factor,confused,Basket,-0.018731091604292337,-0.03707354875124574,-0.0034393149424863274,0.00684375,0.99315625
PS1_tighter_structural,factor,confused,Cart,0.00779294327024402,0.0005672049749091787,0.017144341585470128,0.98403125,0.01596875
PS1_tighter_structural,factor,confused,Trolley,0.03497434613397901,0.007020746341292072,0.06617664691634106,0.99315625,0.00684375
PS1_tighter_structural,factor,perf,NoEquip,-0.005391874874313553,-0.026447063917733795,0.016884368325835078,0.30403125,0.69596875
PS1_tighter_structural,factor,perf,Basket,-0.004202396141589283,-0.020602405609538903,0.010414388788064341,0.30396875,0.69603125
PS1_tighter_structural,factor,perf,Cart,0.001785479777326194,-0.006801227027830742,0.010149850405122765,0.69325,0.30675
PS1_tighter_structural,factor,perf,Trolley,0.007808791238576642,-0.020657361940954955,0.037650325191074356,0.69596875,0.30403125
PS1_tighter_structural,factor,careless,NoEquip,0.04096497650608727,0.016177015024136494,0.0691625248800445,0.99965625,0.00034375
PS1_tighter_structural,factor,careless,Basket,0.02168933240596345,0.007890036929232607,0.038035163581609154,0.99940625,0.00059375
PS1_tighter_structural,factor,careless,Cart,-0.01688969294948315,-0.03154491207245288,-0.00503441662927465,0.0005625,0.9994375
PS1_tighter_structural,factor,careless,Trolley,-0.045764615962567576,-0.07290873382510514,-0.019963539122834124,0.00034375,0.99965625
PS1_tighter_structural,factor,habit,NoEquip,-0.014893727788710866,-0.031989585906599755,0.0019769718829823054,0.0411875,0.9588125
PS1_tighter_structural,factor,habit,Basket,-0.011042275178350713,-0.025207029130922615,0.0013021866795932362,0.04115625,0.95884375
PS1_tighter_structural,factor,habit,Cart,0.0050938227532446095,-0.0008019760382908109,0.012742583222619784,0.95378125,0.04621875
PS1_tighter_structural,factor,habit,Trolley,0.020842180213816973,-0.002566441675237685,0.045812858824955435,0.9588125,0.0411875
PS1_tighter_structural,factor,novelty,NoEquip,0.001077353948987843,-0.017484894292215235,0.021233548817470853,0.53196875,0.46803125
PS1_tighter_structural,factor,novelty,Basket,0.0003338547081646436,-0.013135821642950067,0.012939122241721489,0.53190625,0.46809375
PS1_tighter_structural,factor,novelty,Cart,-0.0005421795754308003,-0.00881959493965546,0.006563351333911893,0.46696875,0.53303125
PS1_tighter_structural,factor,novelty,Trolley,-0.0008690290817216864,-0.025325651121177906,0.024458084841966325,0.46803125,0.53196875
PS1_tighter_structural,factor,value,NoEquip,-0.013420559353599527,-0.03650158073528628,0.01053933913510556,0.12771875,0.87228125
PS1_tighter_structural,factor,value,Basket,-0.010267406003208588,-0.030080093057804666,0.006621099223024133,0.12771875,0.87228125
PS1_tighter_structural,factor,value,Cart,0.004453903368480762,-0.004108446471225512,0.013829067981350389,0.867125,0.132875
PS1_tighter_structural,factor,value,Trolley,0.019234061988327354,-0.013151678978837992,0.05429376791454545,0.87228125,0.12771875
PS1_tighter_structural,gender,female,NoEquip,-0.0158578184425872,-0.05266096782543888,0.01912701061780182,0.19028125,0.80971875
PS1_tighter_structural,gender,female,Basket,-0.01142419576507794,-0.03813580049381861,0.014182655200532447,0.19028125,0.80971875
PS1_tighter_structural,gender,female,Cart,0.005594655569329929,-0.006687820868498906,0.020875773969540653,0.8089375,0.1910625
PS1_tighter_structural,gender,female,Trolley,0.021687358638335204,-0.026843271007813647,0.07090247586855697,0.80971875,0.19028125
PS1_tighter_structural,handledag,Friday,NoEquip,0.04198229857674715,-0.016879330360989195,0.10496192558909363,0.91803125,0.08196875
PS1_tighter_structural,handledag,Friday,Basket,0.021619433415964347,-0.010058522129016754,0.05515765510610024,0.917875,0.082125
PS1_tighter_structural,handledag,Friday,Cart,-0.01738349791056838,-0.04582048435544023,0.006523220328957308,0.08196875,0.91803125
PS1_tighter_structural,handledag,Friday,Trolley,-0.04621823408214313,-0.11198873575162671,0.020304681111186808,0.08196875,0.91803125
PS1_tighter_structural,handledag,Monday,NoEquip,0.03147264446455436,-0.021374164604629153,0.08720834099410117,0.87734375,0.12265625
PS1_tighter_structural,handledag,Monday,Basket,0.017504054148068413,-0.012690189984286816,0.04977635280517919,0.8773125,0.1226875
PS1_tighter_structural,handledag,Monday,Cart,-0.012759716831209566,-0.03721044315712162,0.00837840159944751,0.12271875,0.87728125
PS1_tighter_structural,handledag,Monday,Trolley,-0.03621698178141321,-0.09800637036076142,0.02574915996872737,0.12265625,0.87734375
PS1_tighter_structural,handledag,Thursday,NoEquip,0.06706447838070087,0.0068150071522768705,0.1315201384331657,0.9854375,0.0145625
PS1_tighter_structural,handledag,Thursday,Basket,0.030579472338398504,0.003010511278752874,0.06358056566720659,0.9850625,0.0149375
PS1_tighter_structural,handledag,Thursday,Cart,-0.02843683042205933,-0.058326777467543785,-0.0026963958063119246,0.0145625,0.9854375
PS1_tighter_structural,handledag,Thursday,Trolley,-0.06920712029704004,-0.13192102041955606,-0.007594481845298556,0.0145625,0.9854375
PS1_tighter_structural,handledag,Tuesday,NoEquip,0.02838949940211296,-0.02300949871907321,0.08089952263961578,0.86196875,0.13803125
PS1_tighter_structural,handledag,Tuesday,Basket,0.016226323750873458,-0.01350017758231224,0.04794304010814398,0.86190625,0.13809375
PS1_tighter_structural,handledag,Tuesday,Cart,-0.011405472056311924,-0.03455774504929206,0.009004615132739625,0.13809375,0.86190625
PS1_tighter_structural,handledag,Tuesday,Trolley,-0.033210351096674494,-0.09354660737455443,0.02742208144380586,0.13803125,0.86196875
PS1_tighter_structural,handledag,Wednesday,NoEquip,0.08078604191314614,0.022672196686428742,0.14325611903491275,0.99740625,0.00259375
PS1_tighter_structural,handledag,Wednesday,Basket,0.03432448200068852,0.007890320923663421,0.06731998063979065,0.9968125,0.0031875
PS1_tighter_structural,handledag,Wednesday,Cart,-0.034595448871433905,-0.06368807275490518,-0.009215716308750609,0.00259375,0.99740625
PS1_tighter_structural,handledag,Wednesday,Trolley,-0.08051507504240078,-0.14053939908981294,-0.023363453950954027,0.00259375,0.99740625
PS1_tighter_structural,age,21-25 yr,NoEquip,0.03735368817448382,-0.013292182801872228,0.08843897300547116,0.9293125,0.0706875
PS1_tighter_structural,age,21-25 yr,Basket,0.021003089737994515,-0.006629251784583884,0.05319309000033314,0.9293125,0.0706875
PS1_tighter_structural,age,21-25 yr,Cart,-0.015190845952407536,-0.0375455873759997,0.005504107124780411,0.0706875,0.9293125
PS1_tighter_structural,age,21-25 yr,Trolley,-0.0431659319600708,-0.10355845088670383,0.014589850874230073,0.0706875,0.9293125
PS1_tighter_structural,age,26-30 yr,NoEquip,0.007917038401057376,-0.04471807029726591,0.06236114623781174,0.60878125,0.39121875
PS1_tighter_structural,age,26-30 yr,Basket,0.00464684710643102,-0.030490375770370413,0.03888482053001317,0.60878125,0.39121875
PS1_tighter_structural,age,26-30 yr,Cart,-0.0031683472961757417,-0.02547313654279182,0.017153184104318868,0.391125,0.608875
PS1_tighter_structural,age,26-30 yr,Trolley,-0.009395538211312657,-0.07592930036565208,0.05847879767727354,0.39121875,0.60878125
PS1_tighter_structural,age,31-35 yr,NoEquip,-0.03946211982107849,-0.08928858422409607,0.00974661067327154,0.05621875,0.94378125
PS1_tighter_structural,age,31-35 yr,Basket,-0.03305748348545817,-0.07673511860581286,0.007408322574293248,0.05621875,0.94378125
PS1_tighter_structural,age,31-35 yr,Cart,0.011514966250243848,-0.0033732563492578646,0.03187138808896531,0.9321875,0.0678125
PS1_tighter_structural,age,31-35 yr,Trolley,0.061004637056292825,-0.014271690437291849,0.13888558491060574,0.94378125,0.05621875
PS1_tighter_structural,age,36-40 yr,NoEquip,-0.04389633683718725,-0.10312646903000755,0.02025377206617908,0.08290625,0.91709375
PS1_tighter_structural,age,36-40 yr,Basket,-0.039269805369324326,-0.09893974047831015,0.014078730849686638,0.08290625,0.91709375
PS1_tighter_structural,age,36-40 yr,Cart,0.010991092356682813,-0.00910776515157239,0.033508844116525625,0.884875,0.115125
PS1_tighter_structural,age,36-40 yr,Trolley,0.07217504984982875,-0.027078588383108167,0.18018736841143326,0.91709375,0.08290625
PS1_tighter_structural,age,41-45 yr,NoEquip,-0.08079709356554579,-0.13203881123528846,-0.032240911218301194,0.00078125,0.99921875
PS1_tighter_structural,age,41-45 yr,Basket,-0.08301765782139389,-0.13737791617055803,-0.03067518315286249,0.00078125,0.99921875
PS1_tighter_structural,age,41-45 yr,Cart,0.011525773235623912,-0.015853612970234833,0.03803399578016392,0.8278125,0.1721875
PS1_tighter_structural,age,41-45 yr,Trolley,0.15228897815131578,0.05639447410972187,0.25280108068144497,0.99921875,0.00078125
PS1_tighter_structural,age,46-50 yr,NoEquip,-0.05976254168745025,-0.11272486082810775,-0.006635696582296667,0.014,0.986
PS1_tighter_structural,age,46-50 yr,Basket,-0.05587095373776269,-0.11015013428778592,-0.005352444930794661,0.014,0.986
PS1_tighter_structural,age,46-50 yr,Cart,0.01329608735539594,-0.005122728924569983,0.0360598626440507,0.92840625,0.07159375
PS1_tighter_structural,age,46-50 yr,Trolley,0.102337408069817,0.010187605965822653,0.2000206229875511,0.986,0.014
PS1_tighter_structural,age,51-55 yr,NoEquip,-0.0603864751190296,-0.11456589509398835,-0.005833370466956297,0.01575,0.98425
PS1_tighter_structural,age,51-55 yr,Basket,-0.05697336719387228,-0.11380642911721847,-0.004332584013903909,0.01575,0.98425
PS1_tighter_structural,age,51-55 yr,Cart,0.012966180025808707,-0.006801831256890654,0.035885175469971,0.91603125,0.08396875
PS1_tighter_structural,age,51-55 yr,Trolley,0.10439366228709318,0.008315418404522244,0.2077536227759796,0.98425,0.01575
PS1_tighter_structural,age,56-60 yr,NoEquip,-0.05189508297386506,-0.11413751552443145,0.016471138193320356,0.06290625,0.93709375
PS1_tighter_structural,age,56-60 yr,Basket,-0.04861431507349088,-0.11645667654992953,0.011562309480986254,0.06290625,0.93709375
PS1_tighter_structural,age,56-60 yr,Cart,0.011305680726433792,-0.010444216473514983,0.03450947445830678,0.87859375,0.12140625
PS1_tighter_structural,age,56-60 yr,Trolley,0.08920371732092214,-0.02260863290621975,0.21271344763906522,0.93709375,0.06290625
PS1_tighter_structural,age,61-65 yr,NoEquip,-0.07272035000290178,-0.13595173035720137,0.0011715055039150475,0.02646875,0.97353125
PS1_tighter_structural,age,61-65 yr,Basket,-0.07544344668948152,-0.1550958776368505,0.0008536321343015874,0.02646875,0.97353125
PS1_tighter_structural,age,61-65 yr,Cart,0.009042176267004624,-0.02625219788712379,0.03585702668018675,0.7898125,0.2101875
PS1_tighter_structural,age,61-65 yr,Trolley,0.13912162042537868,-0.001683715790880974,0.29089461631750474,0.97353125,0.02646875
PS1_tighter_structural,age,71-75 yr,NoEquip,0.007217133051439795,-0.09677291449378768,0.1537053479499103,0.49728125,0.50271875
PS1_tighter_structural,age,71-75 yr,Basket,-0.007507512584494717,-0.09974293283700515,0.05382143852199711,0.49525,0.50475
PS1_tighter_structural,age,71-75 yr,Cart,-0.007019225065638855,-0.06761070378344279,0.026517555424669884,0.478,0.522
PS1_tighter_structural,age,71-75 yr,Trolley,0.007309604598693776,-0.13194326370410603,0.18145980965916572,0.50271875,0.49728125
